family,config,n_trials,n_success,success_rate,success_ci_low,success_ci_high,collision_rate,timeout_rate,time_to_goal_mean,time_to_goal_ci,time_to_goal_n,path_length_mean,path_length_ci,path_length_n,min_clearance_mean,min_clearance_ci,min_clearance_n
clutter,A_stock,50,26,0.52,0.3851,0.652,0.0,0.48,15.2308,0.4855,26,5.8097,0.175,26,0.3556,0.0208,50
clutter,C_escape,50,31,0.62,0.4815,0.7414,0.0,0.38,17.6677,2.1052,31,6.1411,0.322,31,0.3539,0.0209,50
clutter,D_cbf,50,26,0.52,0.3851,0.652,0.0,0.48,15.2308,0.4855,26,5.8097,0.175,26,0.3556,0.0208,50
clutter,E_indep,50,31,0.62,0.4815,0.7414,0.0,0.38,17.6677,2.1052,31,6.1401,0.3216,31,0.3539,0.0209,50
clutter,F_full,50,31,0.62,0.4815,0.7414,0.0,0.38,17.6677,2.1052,31,6.1401,0.3216,31,0.3539,0.0209,50
clutter,Fminus_nogap,50,26,0.52,0.3851,0.652,0.0,0.48,15.2308,0.4855,26,5.8097,0.175,26,0.3562,0.0207,50
dynamic,A_stock,50,40,0.8,0.6696,0.8876,0.2,0.0,22.485,1.4409,40,7.9922,0.553,40,0.1249,0.0295,50
dynamic,C_escape,50,38,0.76,0.6259,0.857,0.2,0.04,21.8711,1.3552,38,7.7459,0.5271,38,0.1252,0.0297,50
dynamic,D_cbf,50,41,0.82,0.692,0.9023,0.16,0.02,22.739,1.522,41,8.0214,0.6527,41,0.1291,0.0288,50
dynamic,E_indep,50,39,0.78,0.6476,0.8725,0.18,0.04,21.7744,1.2516,39,7.5604,0.4666,39,0.1257,0.0293,50
dynamic,F_full,50,39,0.78,0.6476,0.8725,0.18,0.04,21.7769,1.2523,39,7.5733,0.4748,39,0.1264,0.0294,50
dynamic,Fminus_nogap,50,42,0.84,0.7149,0.9166,0.16,0.0,23.0095,1.6625,42,8.1385,0.6833,42,0.1294,0.0289,50
narrowdyn,A_stock,50,0,0.0,0.0,0.0714,0.18,0.82,,,0,,,0,0.218,0.0375,50
narrowdyn,C_escape,50,39,0.78,0.6476,0.8725,0.18,0.04,30.5231,1.2992,39,8.3335,0.4401,39,0.2083,0.037,50
narrowdyn,D_cbf,50,0,0.0,0.0,0.0714,0.32,0.68,,,0,,,0,0.1927,0.0431,50
narrowdyn,E_indep,50,32,0.64,0.5014,0.7586,0.32,0.04,30.5469,1.5037,32,8.2438,0.55,32,0.1822,0.0422,50
narrowdyn,F_full,50,31,0.62,0.4815,0.7414,0.32,0.06,30.3581,1.5052,31,8.1076,0.4967,31,0.1822,0.0422,50
narrowdyn,Fminus_nogap,50,0,0.0,0.0,0.0714,0.32,0.68,,,0,,,0,0.193,0.0431,50
utrap,A_stock,50,0,0.0,0.0,0.0714,0.0,1.0,,,0,,,0,0.3269,0.0042,50
utrap,C_escape,50,45,0.9,0.7864,0.9565,0.0,0.1,31.34,1.3628,45,8.1222,0.3252,45,0.3175,0.0022,50
utrap,D_cbf,50,0,0.0,0.0,0.0714,0.0,1.0,,,0,,,0,0.3269,0.0042,50
utrap,E_indep,50,44,0.88,0.7619,0.9438,0.0,0.12,31.1977,1.3646,44,8.0889,0.3244,44,0.3174,0.0022,50
utrap,F_full,50,44,0.88,0.7619,0.9438,0.0,0.12,31.1977,1.3646,44,8.0889,0.3244,44,0.3174,0.0022,50
utrap,Fminus_nogap,50,0,0.0,0.0,0.0714,0.0,1.0,,,0,,,0,0.3284,0.0045,50
