family,seed,config,outcome,success,collided,reached,time_to_goal,path_length,min_clearance,steps,alpha_max,alpha_escape_frac,slack_max,slack_mean,cbf_active_steps,entrapped_frac,n_obstacles,n_dynamic,feasible
dynamic,0,A_stock,COLLISION,0,1,0,5.7,2.2456,-0.0019,57,2.0,0.0,0.0,0.0,0,0.0,5,2,1
dynamic,0,C_escape,COLLISION,0,1,0,5.7,2.2456,-0.0019,57,2.0,0.0,0.0,0.0,0,0.0,5,2,1
dynamic,0,D_cbf,COLLISION,0,1,0,5.7,2.1211,-0.0262,57,2.0,0.0,0.007137,0.000294,56,0.0,5,2,1
dynamic,0,E_indep,COLLISION,0,1,0,5.7,2.1211,-0.0262,57,2.0,0.0,0.007137,0.000294,56,0.0,5,2,1
dynamic,0,F_full,COLLISION,0,1,0,5.7,2.1211,-0.0262,57,2.0,0.0,0.007137,0.000294,56,0.0,5,2,1
dynamic,0,Fminus_nogap,COLLISION,0,1,0,5.7,2.1211,-0.0262,57,2.0,0.0,0.007137,0.000294,56,0.0,5,2,1
clutter,1,A_stock,SUCCESS,1,0,1,14.5,5.4832,0.325,145,2.0,0.0,0.0,0.0,0,0.0,6,0,1
clutter,1,C_escape,SUCCESS,1,0,1,14.5,5.4832,0.325,145,2.0,0.0,0.0,0.0,0,0.0,6,0,1
clutter,1,D_cbf,SUCCESS,1,0,1,14.5,5.4832,0.325,145,2.0,0.0,0.0,0.0,144,0.0,6,0,1
clutter,1,E_indep,SUCCESS,1,0,1,14.5,5.4832,0.325,145,2.0,0.0,0.0,0.0,144,0.0,6,0,1
clutter,1,F_full,SUCCESS,1,0,1,14.5,5.4832,0.325,145,2.0,0.0,0.0,0.0,144,0.0,6,0,1
clutter,1,Fminus_nogap,SUCCESS,1,0,1,14.5,5.4832,0.325,145,2.0,0.0,0.0,0.0,144,0.0,6,0,1
clutter,0,A_stock,SUCCESS,1,0,1,15.2,5.7411,0.326,152,2.0,0.0,0.0,0.0,0,0.0,9,0,1
clutter,0,C_escape,SUCCESS,1,0,1,15.2,5.7411,0.326,152,2.0,0.0,0.0,0.0,0,0.0,9,0,1
clutter,0,D_cbf,SUCCESS,1,0,1,15.2,5.7411,0.326,152,2.0,0.0,0.0,0.0,151,0.0,9,0,1
clutter,0,E_indep,SUCCESS,1,0,1,15.2,5.7411,0.326,152,2.0,0.0,0.0,0.0,151,0.0,9,0,1
clutter,0,F_full,SUCCESS,1,0,1,15.2,5.7411,0.326,152,2.0,0.0,0.0,0.0,151,0.0,9,0,1
clutter,0,Fminus_nogap,SUCCESS,1,0,1,15.2,5.7411,0.326,152,2.0,0.0,0.0,0.0,151,0.0,9,0,1
utrap,0,A_stock,TIMEOUT,0,0,0,40.1,2.9286,0.3203,401,2.0,0.0,0.0,0.0,0,0.0,10,0,1
utrap,0,C_escape,SUCCESS,1,0,1,23.6,7.5252,0.3215,236,2.0,0.0,0.0,0.0,0,0.2596,10,0,1
utrap,0,D_cbf,TIMEOUT,0,0,0,40.1,2.9286,0.3203,401,2.0,0.0,0.0,0.0,400,0.0,10,0,1
utrap,0,E_indep,SUCCESS,1,0,1,23.6,7.5252,0.3215,236,2.0,0.0,0.0,0.0,235,0.2596,10,0,1
utrap,0,F_full,SUCCESS,1,0,1,23.6,7.5252,0.3215,236,6.0,0.2596,0.0,0.0,235,0.2596,10,0,1
utrap,0,Fminus_nogap,TIMEOUT,0,0,0,40.1,2.8639,0.3215,401,6.0,0.68,0.0,0.0,400,0.68,10,0,1
clutter,2,A_stock,SUCCESS,1,0,1,17.3,6.6014,0.3458,173,2.0,0.0,0.0,0.0,0,0.0,5,0,1
clutter,2,C_escape,SUCCESS,1,0,1,17.3,6.6014,0.3458,173,2.0,0.0,0.0,0.0,0,0.0,5,0,1
clutter,2,D_cbf,SUCCESS,1,0,1,17.3,6.6014,0.3458,173,2.0,0.0,0.0,0.0,172,0.0,5,0,1
clutter,2,E_indep,SUCCESS,1,0,1,17.3,6.6014,0.3458,173,2.0,0.0,0.0,0.0,172,0.0,5,0,1
clutter,2,F_full,SUCCESS,1,0,1,17.3,6.6014,0.3458,173,2.0,0.0,0.0,0.0,172,0.0,5,0,1
clutter,2,Fminus_nogap,SUCCESS,1,0,1,17.3,6.6014,0.3458,173,2.0,0.0,0.0,0.0,172,0.0,5,0,1
utrap,1,A_stock,TIMEOUT,0,0,0,40.1,2.543,0.328,401,2.0,0.0,0.0,0.0,0,0.0,11,0,1
utrap,1,C_escape,SUCCESS,1,0,1,30.6,7.0368,0.3273,306,2.0,0.0,0.0,0.0,0,0.2918,11,0,1
utrap,1,D_cbf,TIMEOUT,0,0,0,40.1,2.543,0.328,401,2.0,0.0,0.0,0.0,400,0.0,11,0,1
utrap,1,E_indep,SUCCESS,1,0,1,30.6,7.0368,0.3273,306,2.0,0.0,0.0,0.0,305,0.2918,11,0,1
utrap,1,F_full,SUCCESS,1,0,1,30.6,7.0368,0.3273,306,6.0,0.2918,0.0,0.0,305,0.2918,11,0,1
utrap,1,Fminus_nogap,TIMEOUT,0,0,0,40.1,2.5715,0.3314,401,6.0,0.705,0.0,0.0,400,0.705,11,0,1
narrowdyn,0,A_stock,TIMEOUT,0,0,0,40.1,2.9446,0.3203,401,2.0,0.0,0.0,0.0,0,0.0,12,2,1
narrowdyn,0,C_escape,SUCCESS,1,0,1,24.2,7.6249,0.3215,242,2.0,0.0,0.0,0.0,0,0.278,12,2,1
narrowdyn,0,D_cbf,TIMEOUT,0,0,0,40.1,2.9446,0.3203,401,2.0,0.0,0.0,0.0,400,0.0,12,2,1
narrowdyn,0,E_indep,SUCCESS,1,0,1,24.2,7.6249,0.3215,242,2.0,0.0,0.0,0.0,241,0.278,12,2,1
narrowdyn,0,F_full,SUCCESS,1,0,1,24.2,7.6249,0.3215,242,6.0,0.278,0.0,0.0,241,0.278,12,2,1
narrowdyn,0,Fminus_nogap,TIMEOUT,0,0,0,40.1,2.8651,0.3215,401,6.0,0.68,0.0,0.0,400,0.68,12,2,1
utrap,2,A_stock,TIMEOUT,0,0,0,40.1,3.0918,0.3112,401,2.0,0.0,0.0,0.0,0,0.0,11,0,1
utrap,2,C_escape,SUCCESS,1,0,1,35.8,7.8495,0.3151,358,2.0,0.0,0.0,0.0,0,0.2577,11,0,1
utrap,2,D_cbf,TIMEOUT,0,0,0,40.1,3.0919,0.3112,401,2.0,0.0,0.0,0.0,400,0.0,11,0,1
utrap,2,E_indep,SUCCESS,1,0,1,35.8,7.8495,0.3151,358,2.0,0.0,0.0,0.0,357,0.2577,11,0,1
utrap,2,F_full,SUCCESS,1,0,1,35.8,7.8495,0.3151,358,6.0,0.2577,0.0,0.0,357,0.2577,11,0,1
utrap,2,Fminus_nogap,TIMEOUT,0,0,0,40.1,3.1328,0.3115,401,6.0,0.61,0.0,0.0,400,0.61,11,0,1
narrowdyn,1,A_stock,TIMEOUT,0,0,0,40.1,2.5461,0.3281,401,2.0,0.0,0.0,0.0,0,0.0,12,1,1
narrowdyn,1,C_escape,SUCCESS,1,0,1,30.6,7.0368,0.3273,306,2.0,0.0,0.0,0.0,0,0.2918,12,1,1
narrowdyn,1,D_cbf,TIMEOUT,0,0,0,40.1,2.5461,0.3281,401,2.0,0.0,0.0,0.0,400,0.0,12,1,1
